Ticker,AGG,DBC,DFJ,EEM,FIASX,GDX,GLD,IEF,IJR,IJH,IVV,LQD,PPA,SHY,TIP,TLT,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
AGG,1,-0.03,0.02,-0.07,0,0.17,0.18,0.68,-0.12,-0.08,-0.09,0.63,-0.12,0.47,0.63,0.63,-0.09,-0.05,-0.05,-0.05,-0.09,-0.01,0.05,4.17%,0.32%,1.06%,3.67%,iShares Core US Aggregate Bond ETF
DBC,-0.03,1,0.33,0.49,0.51,0.41,0.36,-0.24,0.42,0.46,0.44,0.09,0.4,-0.17,0.02,-0.27,0.53,0.3,0.66,0.51,0.3,0.45,0.29,-0.64%,1.21%,5.56%,19.27%,Invesco DB Commodity Tracking
DFJ,0.02,0.33,1,0.61,0.7,0.22,0.08,-0.24,0.58,0.61,0.64,0.12,0.58,-0.2,-0.07,-0.24,0.59,0.55,0.53,0.64,0.47,0.77,0.49,3.98%,1.34%,4.14%,14.35%,WisdomTree Japan SmallCap Dividend ETF
EEM,-0.07,0.49,0.61,1,0.81,0.37,0.16,-0.36,0.76,0.81,0.85,0.15,0.73,-0.34,-0.14,-0.35,0.82,0.69,0.73,0.85,0.67,0.84,0.61,5.25%,1.89%,6.23%,21.59%,iShares MSCI Emerging Markets ETF
FIASX,0,0.51,0.7,0.81,1,0.36,0.19,-0.33,0.73,0.78,0.79,0.19,0.73,-0.26,-0.05,-0.35,0.78,0.65,0.71,0.9,0.59,0.88,0.59,6.94%,1.04%,5.26%,18.22%,Fidelity Advisor Intl Small Cap A
GDX,0.17,0.41,0.22,0.37,0.36,1,0.75,0.07,0.24,0.28,0.26,0.15,0.22,0.05,0.16,0.05,0.42,0.21,0.36,0.34,0.21,0.32,0.27,0.07%,2.66%,10.92%,37.82%,VanEck Gold Miners ETF
GLD,0.18,0.36,0.08,0.16,0.19,0.75,1,0.19,0.03,0.05,0.04,0.12,0.03,0.17,0.25,0.15,0.18,0.03,0.15,0.15,0.04,0.13,0.1,7.16%,1.13%,5.00%,17.32%,SPDR Gold Shares
IEF,0.68,-0.24,-0.24,-0.36,-0.33,0.07,0.19,1,-0.41,-0.41,-0.43,0.46,-0.4,0.72,0.74,0.91,-0.4,-0.32,-0.36,-0.38,-0.26,-0.33,-0.2,4.92%,0.41%,1.77%,6.14%,iShares 7-10 Year Treasury Bond ETF
IJR,-0.12,0.42,0.58,0.76,0.73,0.24,0.03,-0.41,1,0.96,0.89,0.09,0.87,-0.33,-0.17,-0.41,0.86,0.74,0.76,0.79,0.77,0.76,0.61,10.31%,1.54%,5.64%,19.55%,iShares Core S&P Small-Cap ETF
IJH,-0.08,0.46,0.61,0.81,0.78,0.28,0.05,-0.41,0.96,1,0.94,0.12,0.89,-0.34,-0.16,-0.42,0.91,0.78,0.8,0.83,0.79,0.8,0.68,10.44%,1.43%,5.20%,18.02%,iShares Core S&P Mid-Cap ETF
IVV,-0.09,0.44,0.64,0.85,0.79,0.26,0.04,-0.43,0.89,0.94,1,0.13,0.88,-0.37,-0.19,-0.43,0.89,0.85,0.78,0.86,0.77,0.84,0.72,10.95%,1.25%,4.34%,15.04%,iShares Core S&P 500 ETF
LQD,0.63,0.09,0.12,0.15,0.19,0.15,0.12,0.46,0.09,0.12,0.13,1,0.11,0.25,0.46,0.44,0.11,0.13,0.11,0.15,0.12,0.19,0.21,5.74%,0.55%,2.13%,7.39%,iShares iBoxx $ Invmt Grade Corp Bd ETF
PPA,-0.12,0.4,0.58,0.73,0.73,0.22,0.03,-0.4,0.87,0.89,0.88,0.11,1,-0.32,-0.18,-0.41,0.83,0.75,0.72,0.79,0.68,0.75,0.65,11.05%,1.36%,5.38%,18.65%,Invesco Aerospace&Defense ETF
SHY,0.47,-0.17,-0.2,-0.34,-0.26,0.05,0.17,0.72,-0.33,-0.34,-0.37,0.25,-0.32,1,0.55,0.55,-0.33,-0.27,-0.29,-0.3,-0.25,-0.28,-0.2,1.98%,0.08%,0.37%,1.27%,iShares 1-3 Year Treasury Bond ETF
TIP,0.63,0.02,-0.07,-0.14,-0.05,0.16,0.25,0.74,-0.17,-0.16,-0.19,0.46,-0.18,0.55,1,0.68,-0.14,-0.16,-0.09,-0.12,-0.13,-0.1,-0.07,4.59%,0.39%,1.60%,5.55%,iShares TIPS Bond ETF
TLT,0.63,-0.27,-0.24,-0.35,-0.35,0.05,0.15,0.91,-0.41,-0.42,-0.43,0.44,-0.41,0.55,0.68,1,-0.41,-0.33,-0.38,-0.4,-0.25,-0.34,-0.22,7.03%,0.92%,3.87%,13.42%,iShares 20+ Year Treasury Bond ETF
VAW,-0.09,0.53,0.59,0.82,0.78,0.42,0.18,-0.4,0.86,0.91,0.89,0.11,0.83,-0.33,-0.14,-0.41,1,0.71,0.81,0.83,0.69,0.79,0.63,9.66%,1.60%,6.10%,21.12%,Vanguard Materials ETF
VDC,-0.05,0.3,0.55,0.69,0.65,0.21,0.03,-0.32,0.74,0.78,0.85,0.13,0.75,-0.27,-0.16,-0.33,0.71,1,0.6,0.72,0.66,0.71,0.76,10.52%,0.93%,3.36%,11.66%,Vanguard Consumer Staples ETF
VDE,-0.05,0.66,0.53,0.73,0.71,0.36,0.15,-0.36,0.76,0.8,0.78,0.11,0.72,-0.29,-0.09,-0.38,0.81,0.6,1,0.75,0.56,0.71,0.57,2.48%,1.97%,7.79%,26.99%,Vanguard Energy ETF
VEURX,-0.05,0.51,0.64,0.85,0.9,0.34,0.15,-0.38,0.79,0.83,0.86,0.15,0.79,-0.3,-0.12,-0.4,0.83,0.72,0.75,1,0.67,0.84,0.63,4.65%,1.45%,5.57%,19.29%,Vanguard European Stock Index Investor
VGSIX,-0.09,0.3,0.47,0.67,0.59,0.21,0.04,-0.26,0.77,0.79,0.77,0.12,0.68,-0.25,-0.13,-0.25,0.69,0.66,0.56,0.67,1,0.62,0.62,7.71%,2.04%,6.55%,22.70%,Vanguard Real Estate Index Investor
VPACX,-0.01,0.45,0.77,0.84,0.88,0.32,0.13,-0.33,0.76,0.8,0.84,0.19,0.75,-0.28,-0.1,-0.34,0.79,0.71,0.71,0.84,0.62,1,0.63,4.48%,1.22%,4.53%,15.70%,Vanguard Pacific Stock Index Investor
VPU,0.05,0.29,0.49,0.61,0.59,0.27,0.1,-0.2,0.61,0.68,0.72,0.21,0.65,-0.2,-0.07,-0.22,0.63,0.76,0.57,0.63,0.62,0.63,1,8.80%,1.21%,3.97%,13.76%,Vanguard Utilities ETF
