Ticker,AGG,DBC,DFJ,EEM,FIASX,GDX,GLD,IEF,IJR,IJH,IVV,LQD,PPA,SHY,TIP,TLT,SYNZ,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,RYU,RHS,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
AGG,1,-0.03,0.01,-0.07,0,0.17,0.18,0.67,-0.12,-0.08,-0.1,0.62,-0.12,0.47,0.63,0.63,0.63,-0.09,-0.05,-0.05,-0.06,-0.09,-0.02,0.05,0.1,-0.01,4.02%,0.32%,1.07%,3.69%,iShares Core US Aggregate Bond ETF
DBC,-0.03,1,0.35,0.5,0.52,0.41,0.35,-0.25,0.42,0.46,0.45,0.1,0.4,-0.18,0.02,-0.27,-0.27,0.53,0.31,0.66,0.51,0.31,0.45,0.3,0.32,0.31,-0.44%,1.21%,5.60%,19.41%,Invesco DB Commodity Tracking
DFJ,0.01,0.35,1,0.66,0.75,0.24,0.09,-0.27,0.63,0.67,0.7,0.13,0.63,-0.22,-0.08,-0.27,-0.27,0.65,0.6,0.58,0.69,0.51,0.84,0.53,0.48,0.53,4.55%,1.25%,4.14%,14.35%,WisdomTree Japan SmallCap Dividend ETF
EEM,-0.07,0.5,0.66,1,0.82,0.37,0.15,-0.37,0.76,0.81,0.85,0.15,0.73,-0.35,-0.15,-0.36,-0.36,0.82,0.69,0.73,0.85,0.68,0.85,0.62,0.52,0.56,4.68%,1.89%,6.29%,21.78%,iShares MSCI Emerging Markets ETF
FIASX,0,0.52,0.75,0.82,1,0.35,0.18,-0.33,0.73,0.78,0.8,0.19,0.74,-0.27,-0.06,-0.36,-0.36,0.79,0.65,0.72,0.9,0.59,0.89,0.59,0.54,0.58,7.23%,1.05%,5.30%,18.35%,Fidelity Advisor Intl Small Cap A
GDX,0.17,0.41,0.24,0.37,0.35,1,0.75,0.07,0.23,0.28,0.26,0.15,0.22,0.05,0.16,0.05,0.05,0.42,0.21,0.35,0.34,0.21,0.32,0.27,0.27,0.17,-0.04%,2.67%,11.04%,38.23%,VanEck Gold Miners ETF
GLD,0.18,0.35,0.09,0.15,0.18,0.75,1,0.19,0.03,0.05,0.04,0.12,0.02,0.17,0.25,0.15,0.15,0.17,0.03,0.14,0.14,0.04,0.12,0.1,0.13,0.04,7.15%,1.13%,5.04%,17.46%,SPDR Gold Shares
IEF,0.67,-0.25,-0.27,-0.37,-0.33,0.07,0.19,1,-0.41,-0.42,-0.43,0.45,-0.4,0.72,0.74,0.91,0.91,-0.41,-0.32,-0.36,-0.39,-0.26,-0.33,-0.21,-0.17,-0.28,4.70%,0.42%,1.79%,6.21%,iShares 7-10 Year Treasury Bond ETF
IJR,-0.12,0.42,0.63,0.76,0.73,0.23,0.03,-0.41,1,0.96,0.89,0.09,0.87,-0.34,-0.18,-0.42,-0.42,0.86,0.74,0.76,0.79,0.77,0.76,0.62,0.53,0.64,10.56%,1.55%,5.71%,19.79%,iShares Core S&P Small-Cap ETF
IJH,-0.08,0.46,0.67,0.81,0.78,0.28,0.05,-0.42,0.96,1,0.94,0.12,0.89,-0.35,-0.17,-0.42,-0.42,0.91,0.78,0.8,0.83,0.79,0.8,0.68,0.6,0.68,10.69%,1.44%,5.26%,18.23%,iShares Core S&P Mid-Cap ETF
IVV,-0.1,0.45,0.7,0.85,0.8,0.26,0.04,-0.43,0.89,0.94,1,0.13,0.88,-0.38,-0.19,-0.43,-0.43,0.89,0.85,0.78,0.87,0.77,0.84,0.72,0.63,0.72,10.68%,1.26%,4.39%,15.22%,iShares Core S&P 500 ETF
LQD,0.62,0.1,0.13,0.15,0.19,0.15,0.12,0.45,0.09,0.12,0.13,1,0.11,0.24,0.46,0.43,0.43,0.11,0.13,0.11,0.15,0.12,0.19,0.21,0.23,0.14,5.58%,0.55%,2.16%,7.47%,iShares iBoxx $ Invmt Grade Corp Bd ETF
PPA,-0.12,0.4,0.63,0.73,0.74,0.22,0.02,-0.4,0.87,0.89,0.88,0.11,1,-0.32,-0.18,-0.41,-0.41,0.83,0.75,0.73,0.79,0.68,0.75,0.65,0.58,0.66,11.29%,1.37%,5.44%,18.83%,Invesco Aerospace&Defense ETF
SHY,0.47,-0.18,-0.22,-0.35,-0.27,0.05,0.17,0.72,-0.34,-0.35,-0.38,0.24,-0.32,1,0.55,0.55,0.55,-0.34,-0.27,-0.3,-0.31,-0.26,-0.29,-0.2,-0.15,-0.21,1.88%,0.08%,0.37%,1.27%,iShares 1-3 Year Treasury Bond ETF
TIP,0.63,0.02,-0.08,-0.15,-0.06,0.16,0.25,0.74,-0.18,-0.17,-0.19,0.46,-0.18,0.55,1,0.68,0.68,-0.15,-0.17,-0.09,-0.12,-0.13,-0.1,-0.07,0,-0.11,4.52%,0.39%,1.62%,5.61%,iShares TIPS Bond ETF
TLT,0.63,-0.27,-0.27,-0.36,-0.36,0.05,0.15,0.91,-0.42,-0.42,-0.43,0.43,-0.41,0.55,0.68,1,0.98,-0.42,-0.33,-0.38,-0.4,-0.26,-0.34,-0.22,-0.2,-0.3,6.60%,0.93%,3.92%,13.57%,iShares 20+ Year Treasury Bond ETF
SYNZ,0.63,-0.27,-0.27,-0.36,-0.36,0.05,0.15,0.91,-0.42,-0.42,-0.43,0.43,-0.41,0.55,0.68,0.98,1,-0.42,-0.33,-0.38,-0.4,-0.26,-0.34,-0.22,-0.2,-0.3,8.00%,1.42%,6.09%,21.11%,Synthetic EDV
VAW,-0.09,0.53,0.65,0.82,0.79,0.42,0.17,-0.41,0.86,0.91,0.89,0.11,0.83,-0.34,-0.15,-0.42,-0.42,1,0.72,0.82,0.83,0.7,0.79,0.63,0.57,0.62,9.54%,1.61%,6.17%,21.36%,Vanguard Materials ETF
VDC,-0.05,0.31,0.6,0.69,0.65,0.21,0.03,-0.32,0.74,0.78,0.85,0.13,0.75,-0.27,-0.17,-0.33,-0.33,0.72,1,0.61,0.72,0.66,0.72,0.77,0.67,0.87,10.33%,0.94%,3.40%,11.79%,Vanguard Consumer Staples ETF
VDE,-0.05,0.66,0.58,0.73,0.72,0.35,0.14,-0.36,0.76,0.8,0.78,0.11,0.73,-0.3,-0.09,-0.38,-0.38,0.82,0.61,1,0.75,0.56,0.72,0.58,0.52,0.53,2.29%,1.98%,7.87%,27.26%,Vanguard Energy ETF
VEURX,-0.06,0.51,0.69,0.85,0.9,0.34,0.14,-0.39,0.79,0.83,0.87,0.15,0.79,-0.31,-0.12,-0.4,-0.4,0.83,0.72,0.75,1,0.67,0.84,0.63,0.57,0.63,4.16%,1.47%,5.62%,19.47%,Vanguard European Stock Index Investor
VGSIX,-0.09,0.31,0.51,0.68,0.59,0.21,0.04,-0.26,0.77,0.79,0.77,0.12,0.68,-0.26,-0.13,-0.26,-0.26,0.7,0.66,0.56,0.67,1,0.62,0.62,0.5,0.54,7.00%,2.06%,6.61%,22.91%,Vanguard Real Estate Index Investor
VPACX,-0.02,0.45,0.84,0.85,0.89,0.32,0.12,-0.33,0.76,0.8,0.84,0.19,0.75,-0.29,-0.1,-0.34,-0.34,0.79,0.72,0.72,0.84,0.62,1,0.64,0.56,0.61,4.29%,1.22%,4.58%,15.86%,Vanguard Pacific Stock Index Investor
VPU,0.05,0.3,0.53,0.62,0.59,0.27,0.1,-0.21,0.62,0.68,0.72,0.21,0.65,-0.2,-0.07,-0.22,-0.22,0.63,0.77,0.58,0.63,0.62,0.64,1,0.87,0.67,8.26%,1.22%,3.99%,13.82%,Vanguard Utilities ETF
RYU,0.1,0.32,0.48,0.52,0.54,0.27,0.13,-0.17,0.53,0.6,0.63,0.23,0.58,-0.15,0,-0.2,-0.2,0.57,0.67,0.52,0.57,0.5,0.56,0.87,1,0.66,7.96%,1.25%,3.98%,13.79%,Invesco S&P 500 Equal Weight Utilts ETF
RHS,-0.01,0.31,0.53,0.56,0.58,0.17,0.04,-0.28,0.64,0.68,0.72,0.14,0.66,-0.21,-0.11,-0.3,-0.3,0.62,0.87,0.53,0.63,0.54,0.61,0.67,0.66,1,10.58%,0.94%,3.66%,12.68%,Invesco S&P 500 Eql Wt Cnsm Stapl ETF